success,cet_oapr,english,reading,science,quantitative,abstract,shs_gpa,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,ptotal,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,stotal,bscs,bsit,female,male,abm,gas,humss,stem,he,ict,arts,sports,class_rank_5,class_rank_10,class_rank_20,class_rank_none,highest_honor,high_honor,with_honor,awards_none,class_president,class_vice_president,class_secretary,class_treasurer,class_auditor,class_project_manager,class_pio,class_peace_officer,class_none,school_president,school_vice_president,school_senator,school_board,school_secretary,school_treasurer,school_auditor,school_project_manager,school_pio,school_peace_officer,school_grade_level_rep,school_volunteer,school_none,father_college,father_highschool,father_no_school,father_na,father_fulltime,father_part_time,father_self_employed,father_not_employed,father_emp_na,mother_college,mother_highschool,mother_no_school,mother_na,mother_fulltime,mother_part_time,mother_self_employed,mother_not_employed,mother_emp_na,income_100k,income_50k,income_20k,income_10k,income_below_10k,income_na,laptop_no,laptop_yes,internet_post_paid,internet_pre_paid,s25_teacher,s25_tutor,s25_friends,s25_family,s25_research,s25_leave_it
1,80.63,78.85,92.88,44.12,70.61,79.78,94,-1,1,1,-1,1,0,1,1,0,1,1,0,-1,0,2,0,2,-1,-1,2,0,-1,0,1,0,-1,1,0,0,0,0,0,0,1,1,0,-1,0,1,0,10,2,0,2,1,0,0,2,3,3,2,3,2,2,1,1,1,0,3,2,2,3,2,2,1,40,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,69.19,66.01,71.99,51.68,75.28,53.29,86.5,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,66.95,66.01,92.88,3.34,84.63,53.29,79.935,2,0,0,1,0,-1,2,1,0,2,0,1,0,0,1,2,1,-1,-2,1,0,0,1,1,1,0,-1,0,0,0,1,1,0,1,1,1,2,1,1,1,22,2,1,2,1,2,1,2,3,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,39,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
1,78.81,72.788,87.4,72.66,53.82,83.75,88,-1,0,2,0,0,0,2,2,1,2,0,0,-1,1,1,2,-1,-1,-2,2,0,0,2,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,19,1,2,2,3,2,0,2,1,2,1,3,3,0,0,3,0,0,3,3,2,2,2,2,1,40,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
0,64.72,70.75,66.85,51.68,44.18,43.49,92.5,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,-1,-1,-1,0,-1,-1,0,0,0,-1,0,-1,0,0,0,0,0,-1,-1,-1,-15,2,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
1,92.9,95.51,96.76,76.79,63.45,79.78,92.5,0,1,2,1,2,0,2,1,0,1,1,1,-2,-1,-1,-1,0,-1,-2,1,-1,2,1,0,0,-1,0,1,0,1,1,0,-1,2,0,-1,1,0,1,1,12,2,1,0,2,1,2,3,2,2,2,2,2,0,1,2,1,1,3,2,2,2,1,2,1,39,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
0,80.63,76.83,96.76,80.93,44.18,43.49,93.5,0,0,1,1,0,0,2,1,0,1,1,0,0,0,2,2,2,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,2,2,1,1,1,1,1,32,2,0,1,2,1,1,3,2,2,2,2,2,2,1,1,1,2,2,1,3,3,3,3,3,45,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
1,89.65,88.66,94.82,36.55,92.22,87.72,88.75,1,1,1,-1,-2,0,2,0,2,0,-1,-2,-2,2,1,0,0,-2,0,0,0,0,2,1,0,0,0,0,1,2,2,2,1,1,2,-2,0,1,1,0,14,1,1,2,0,2,0,2,2,2,2,1,3,3,1,3,1,1,0,3,1,2,2,2,2,39,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
0,82.81,86.35,71.99,44.12,84.63,79.78,91,0,0,1,2,1,1,0,1,0,2,1,1,0,1,0,2,0,0,-1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,23,2,2,2,2,2,2,3,3,3,2,2,3,3,1,3,2,2,2,2,2,2,2,2,2,53,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
1,84.88,88.66,42.05,94.84,75.28,53.29,92,0,0,0,0,-1,1,1,1,0,2,1,1,0,1,0,0,1,-1,-1,1,-1,2,0,0,0,-1,0,-1,2,1,0,0,-1,-1,1,-1,0,0,2,-1,8,2,1,1,2,2,2,3,3,2,2,3,3,3,1,3,2,2,2,3,2,2,3,3,2,54,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
