success,cet_oapr,english,reading,science,quantitative,abstract,shs_gpa,program,sex,strand,class_rank,academic_awards,classroom_org,school_org,fathers_education,fathers_employment,mothers_education,mothers_employment,income,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,laptop,internet
1,80.63,78.85,92.88,44.12,70.61,79.78,94,BS Information Technology,Female,HUMSS,Top 10,With Honor,Project Manager,Auditor,"Some college credit, no degree",Retired,"High school graduate, diploma or the equivalent","Self-employed (doing business, etc.)","P10,000 to P20,000",Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Sometimes,Never,Sometimes,Seldom,Never,Never,Sometimes,Often/Always,Often/Always,Sometimes,Often/Always,Sometimes,Sometimes,Seldom,Seldom,Seldom,Never,Often/Always,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Seldom,Research online,More than 2 hours but less than 3 hours/day,More than 30 min. but less than 1 hour/day,Yes,Pre-paid plan(Limited Data Subscription)
0,69.19,66.01,71.99,51.68,75.28,53.29,86.5,BS Computer Science,Male,STEM,Top 10,With Honor,None,None,No schooling completed,"Employed, working 1 to 39 hours or more per week (part-time)",No schooling completed,"Employed, working 40 hours or more per week (fulltime)","P10,000 to P20,000",Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Research online,Up to 30 minutes/day,Up to 30 minutes/day,No,Pre-paid plan(Limited Data Subscription)
0,66.95,66.01,92.88,3.34,84.63,53.29,79.935,BS Information Technology,Male,STEM,None,None,PIO,None,"High school graduate, diploma or the equivalent","Self-employed (doing business, etc.)",Bachelor’s degree,"Employed, working 40 hours or more per week (fulltime)","P10,000 to P20,000",Strongly Agree,Neutral,Neutral,Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Sometimes,Seldom,Sometimes,Seldom,Sometimes,Seldom,Sometimes,Often/Always,Sometimes,Sometimes,Seldom,Seldom,Seldom,Seldom,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Ask my friends,More than 4 hours/day,More than 4 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,78.81,72.788,87.4,72.66,53.82,83.75,88,BS Information Technology,Female,ABM/BAM,None,None,None,None,"High school graduate, diploma or the equivalent","Employed, working 40 hours or more per week (fulltime)","High school graduate, diploma or the equivalent","Not employed, not looking for work","P10,000 to P20,000",Disagree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Seldom,Sometimes,Sometimes,Often/Always,Sometimes,Never,Sometimes,Seldom,Sometimes,Seldom,Often/Always,Often/Always,Never,Never,Often/Always,Never,Never,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Ask my friends,Up to 30 minutes/day,More than 2 hours but less than 3 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
0,64.72,70.75,66.85,51.68,44.18,43.49,92.5,BS Information Technology,Male,STEM,None,None,None,None,Professional degree,Retired,Professional degree,"Employed, working 40 hours or more per week (fulltime)",Prefer not to say,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Sometimes,Never,Never,Seldom,Seldom,Never,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Ask my friends,More than 30 min. but less than 1 hour/day,More than 1 hour but less than 2 hours/day,Yes,Pre-paid plan(Limited Data Subscription)
1,92.9,95.51,96.76,76.79,63.45,79.78,92.5,BS Information Technology,Female,TVL-ICT,Top 5,High Honor,Secretary,None,Nursery school to 8th grade,"Employed, working 40 hours or more per week (fulltime)","High school graduate, diploma or the equivalent","Employed, working 40 hours or more per week (fulltime)","Below P10,000",Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Sometimes,Seldom,Never,Sometimes,Seldom,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Seldom,Sometimes,Seldom,Seldom,Often/Always,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Seldom,Research online,More than 1 hour but less than 2 hours/day,More than 2 hours but less than 3 hours/day,No,Pre-paid plan(Limited Data Subscription)
0,80.63,76.83,96.76,80.93,44.18,43.49,93.5,BS Computer Science,Male,HUMSS,Top 5,With Honor,None,None,"High school graduate, diploma or the equivalent","Not Applicable (no work, not known, etc.)","Some college credit, no degree","Employed, working 1 to 39 hours or more per week (part-time)",Prefer not to say,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Never,Seldom,Sometimes,Seldom,Seldom,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Seldom,Seldom,Sometimes,Sometimes,Seldom,Often/Always,Often/Always,Often/Always,Often/Always,Often/Always,Ask my teachers at school,More than 30 min. but less than 1 hour/day,More than 1 hour but less than 2 hours/day,No,Pre-paid plan(Limited Data Subscription)
1,89.65,88.66,94.82,36.55,92.22,87.72,88.75,BS Information Technology,Male,STEM,None,None,None,None,"Not Applicable (no work, not known, etc.)","Not Applicable (no work, not known, etc.)","Not Applicable (no work, not known, etc.)","Self-employed (doing business, etc.)",Prefer not to say,Agree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Neutral,Seldom,Seldom,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Often/Always,Often/Always,Seldom,Often/Always,Seldom,Seldom,Never,Often/Always,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Ask my friends,More than 4 hours/day,Up to 30 minutes/day,No,Pre-paid plan(Limited Data Subscription)
0,82.81,86.35,71.99,44.12,84.63,79.78,91,BS Computer Science,Male,STEM,Top 10,With Honor,None,None,Bachelor’s degree,"Employed, working 40 hours or more per week (fulltime)",Bachelor’s degree,"Not employed, not looking for work",Prefer not to say,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Sometimes,Sometimes,Often/Always,Often/Always,Seldom,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Research online,More than 1 hour but less than 2 hours/day,More than 1 hour but less than 2 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,84.88,88.66,42.05,94.84,75.28,53.29,92,BS Computer Science,Female,TVL-ICT,Top 5,With Honor,President,None,Nursery school to 8th grade,"Self-employed (doing business, etc.)","Some college credit, no degree","Self-employed (doing business, etc.)",Prefer not to say,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Often/Always,Often/Always,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Seldom,Often/Always,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Often/Always,Often/Always,Sometimes,Research online,More than 30 min. but less than 1 hour/day,Up to 30 minutes/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
